CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price,Investment Rate,High Yield,Interest Payment Frequency,Interest Rate
912810UD8,Bond,20-Year,08/21/2024,09/03/2024,08/15/2044,99.524806,,0.0416,Semi-Annual,0.04125
912797KK2,Bill,16-Day,08/21/2024,08/27/2024,09/12/2024,99.766222,0.05346,,None,
912797MQ7,Bill,17-Week,08/21/2024,08/27/2024,12/24/2024,98.373667,0.05071,,None,
912797GW1,Bill,42-Day,08/20/2024,08/22/2024,10/03/2024,99.395083,0.05289,,None,
912797LE5,Bill,13-Week,08/19/2024,08/22/2024,11/21/2024,98.722208,0.05192,,None,
912797KA4,Bill,26-Week,08/19/2024,08/22/2024,02/20/2025,97.588500,0.04956,,None,
912797LH8,Bill,4-Week,08/15/2024,08/20/2024,09/17/2024,99.590889,0.05355,,None,
912797LT2,Bill,8-Week,08/15/2024,08/20/2024,10/15/2024,99.195000,0.05289,,None,
912797MP9,Bill,17-Week,08/14/2024,08/20/2024,12/17/2024,98.353833,0.05134,,None,
912797KM8,Bill,42-Day,08/13/2024,08/15/2024,09/26/2024,99.389833,0.05335,,None,
912797LD7,Bill,13-Week,08/12/2024,08/15/2024,11/14/2024,98.718417,0.05207,,None,
912797MK0,Bill,26-Week,08/12/2024,08/15/2024,02/13/2025,97.575861,0.04982,,None,
912810UC0,Bond,30-Year,08/08/2024,08/15/2024,08/15/2054,98.928757,,0.04314,Semi-Annual,0.0425
912797LG0,Bill,4-Week,08/08/2024,08/13/2024,09/10/2024,99.588944,0.05381,,None,
912797LS4,Bill,8-Week,08/08/2024,08/13/2024,10/08/2024,99.192667,0.05305,,None,
91282CLF6,Note,10-Year,08/07/2024,08/15/2024,08/15/2034,99.303721,,0.0396,Semi-Annual,0.03875
912797MN4,Bill,17-Week,08/07/2024,08/13/2024,12/10/2024,98.350528,0.05144,,None,
91282CLG4,Note,3-Year,08/06/2024,08/15/2024,08/15/2027,99.831417,,0.0381,Semi-Annual,0.0375
912797KL0,Bill,42-Day,08/06/2024,08/08/2024,09/19/2024,99.385167,0.05376,,None,
912797MG9,Bill,52-Week,08/06/2024,08/08/2024,08/07/2025,95.697722,0.04458,,None,
912797LC9,Bill,13-Week,08/05/2024,08/08/2024,11/07/2024,98.717153,0.05212,,None,
912797MJ3,Bill,26-Week,08/05/2024,08/08/2024,02/06/2025,97.623889,0.04881,,None,
912797LA3,Bill,4-Week,08/01/2024,08/06/2024,09/03/2024,99.588944,0.05381,,None,
